epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18257,0.99939,2.4419,1.4509,0.79389,0.22721,0.69372,0.46931,0.9203,2.52636,1.63974,0.00031673,0.00031673,0.00031673
2,10.8688,0.73942,1.36037,1.2217,0.30918,0.44118,0.26459,0.08936,2.26948,2.57326,3.17976,0.000637257,0.000637257,0.000637257
3,15.4167,0.58994,1.1668,1.1374,0.52662,0.55882,0.46382,0.17339,2.02492,2.17732,3.01774,0.000944582,0.000944582,0.000944582
4,19.7462,0.56344,1.08369,1.11526,0.15795,0.32353,0.13965,0.0493,2.26255,2.69692,3.29636,0.0012387,0.0012387,0.0012387
5,24.0582,0.56761,1.00671,1.10236,0.2742,0.5,0.22608,0.07281,2.18121,2.4919,3.75806,0.00151962,0.00151962,0.00151962
6,28.3421,0.53558,0.92695,1.08773,0.39969,0.33313,0.34735,0.14876,1.91281,2.2772,3.08654,0.00150197,0.00150197,0.00150197
7,32.6283,0.5198,0.86989,1.07561,0.31749,0.38235,0.33127,0.12815,2.3802,2.80825,3.1833,0.00146896,0.00146896,0.00146896
8,36.8926,0.49616,0.82584,1.0713,0.30599,0.58824,0.33882,0.08362,2.22772,2.58532,3.70978,0.00143595,0.00143595,0.00143595
9,41.1592,0.4892,0.77899,1.04562,0.41051,0.61765,0.42466,0.13714,2.5134,2.03689,4.1883,0.00140295,0.00140295,0.00140295
10,45.4205,0.50181,0.75574,1.06714,0.20401,0.32353,0.20837,0.07382,2.71848,2.38136,3.48845,0.00136994,0.00136994,0.00136994
11,49.6641,0.46533,0.7131,1.06047,0.39388,0.53527,0.38686,0.15742,2.31852,2.09566,3.49858,0.00133693,0.00133693,0.00133693
12,53.9546,0.4305,0.65778,1.02659,0.02147,0.11765,0.02227,0.00688,2.44831,3.16568,3.30872,0.00130393,0.00130393,0.00130393
13,58.2179,0.42218,0.64724,1.01769,0.49092,0.38235,0.39267,0.1801,2.02227,2.25574,2.88758,0.00127092,0.00127092,0.00127092
14,62.5324,0.40591,0.61045,1.00177,0.27129,0.26471,0.18612,0.05725,2.29532,2.43461,3.22503,0.00123791,0.00123791,0.00123791
15,66.8235,0.3797,0.57779,0.99308,0.70259,0.55594,0.63777,0.24551,1.81068,1.57655,2.63643,0.00120491,0.00120491,0.00120491
16,71.1138,0.3761,0.57683,1.00829,0.47897,0.5,0.49217,0.19121,1.81801,1.81596,2.57526,0.0011719,0.0011719,0.0011719
