epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,75.4006,0.41076,0.56757,0.99864,0.66433,0.44118,0.61634,0.28142,1.63741,1.78384,2.37282,0.00113889,0.00113889,0.00113889
18,79.7455,0.38181,0.56856,0.99252,0.6542,0.5,0.59542,0.23747,1.89136,1.75893,2.83462,0.00110589,0.00110589,0.00110589
19,84.0466,0.36303,0.52486,0.98523,0.60716,0.23529,0.29114,0.11141,2.13314,2.32592,2.84431,0.00107288,0.00107288,0.00107288
20,88.3658,0.34944,0.51886,0.96835,0.72847,0.55255,0.6008,0.26241,1.82574,1.8154,2.83476,0.00103987,0.00103987,0.00103987
21,92.658,0.34858,0.51415,0.97213,0.71757,0.55882,0.6463,0.26334,2.03645,1.63593,3.08328,0.00100687,0.00100687,0.00100687
22,96.9637,0.36546,0.51614,1.00692,0.3972,0.5,0.37292,0.14746,2.11953,2.1077,3.07772,0.000973861,0.000973861,0.000973861
23,101.249,0.3348,0.50907,0.97269,0.52795,0.52941,0.4947,0.2248,1.76879,1.84297,2.55119,0.000940855,0.000940855,0.000940855
24,105.528,0.34798,0.49331,0.98113,0.5152,0.40649,0.41466,0.20589,1.60209,2.23644,2.38524,0.000907848,0.000907848,0.000907848
25,109.889,0.33331,0.49965,0.96055,0.78021,0.47059,0.62234,0.26795,1.92557,1.64781,2.79405,0.000874842,0.000874842,0.000874842
26,114.239,0.32124,0.46185,0.95344,0.6771,0.55882,0.62345,0.32721,1.67943,1.53715,2.48293,0.000841835,0.000841835,0.000841835
27,118.564,0.32853,0.45952,0.9558,0.83751,0.60665,0.69847,0.38557,1.48011,1.48337,2.19408,0.000808828,0.000808828,0.000808828
28,122.895,0.28871,0.41015,0.96866,0.72955,0.67647,0.72428,0.43779,1.4086,1.37092,2.16275,0.000775822,0.000775822,0.000775822
29,127.204,0.29374,0.40326,0.94575,0.7969,0.52941,0.66486,0.37986,1.63539,1.45942,2.41855,0.000742815,0.000742815,0.000742815
30,131.525,0.30707,0.42,0.95184,0.78388,0.5,0.63772,0.30609,1.69368,1.55379,2.35644,0.000709809,0.000709809,0.000709809
31,135.778,0.30734,0.43792,0.95215,0.9,0.58824,0.73406,0.34732,1.49285,1.4515,2.26462,0.000676802,0.000676802,0.000676802
32,140.082,0.28661,0.3919,0.96077,0.76932,0.64706,0.753,0.3512,1.65108,1.23155,2.63087,0.000643795,0.000643795,0.000643795
33,144.392,0.28016,0.39576,0.94983,0.66296,0.64706,0.68789,0.33578,1.68075,1.34309,2.51545,0.000610789,0.000610789,0.000610789
34,148.712,0.28331,0.38326,0.96188,0.74539,0.61765,0.71462,0.33885,1.62723,1.43686,2.31871,0.000577782,0.000577782,0.000577782
35,153.038,0.30237,0.38773,0.94209,0.54831,0.49986,0.54551,0.28159,1.76984,1.47238,2.36341,0.000544776,0.000544776,0.000544776
36,157.374,0.26148,0.36998,0.93034,0.52639,0.38235,0.40273,0.20853,1.93452,1.74065,2.45837,0.000511769,0.000511769,0.000511769
37,161.704,0.27606,0.39496,0.93792,0.5708,0.50869,0.5175,0.25257,1.69549,1.63394,2.36025,0.000478762,0.000478762,0.000478762
38,166.016,0.26708,0.36781,0.92954,0.57096,0.44118,0.50563,0.20375,1.76765,1.77673,2.64147,0.000445756,0.000445756,0.000445756
39,170.337,0.2445,0.35008,0.92947,0.50085,0.44118,0.46777,0.20739,1.75702,2.01372,2.53858,0.000412749,0.000412749,0.000412749
40,174.647,0.25236,0.36375,0.92911,0.73122,0.64706,0.70555,0.33073,1.80009,1.43264,2.70671,0.000379743,0.000379743,0.000379743
41,201.866,0.24975,0.41218,0.92281,0.71948,0.55882,0.56002,0.26008,2.00417,1.49683,3.17804,0.000346736,0.000346736,0.000346736
42,206.116,0.22985,0.34527,0.90577,0.72179,0.61065,0.672,0.27268,1.95937,1.38344,3.28616,0.000313729,0.000313729,0.000313729
43,210.397,0.2403,0.33297,0.92207,0.80684,0.55882,0.63501,0.28905,1.88209,1.37304,2.85455,0.000280723,0.000280723,0.000280723
44,214.803,0.22496,0.32671,0.90776,0.66656,0.47059,0.54841,0.23968,1.63248,1.69848,2.36249,0.000247716,0.000247716,0.000247716
45,219.194,0.21969,0.29729,0.90455,0.82147,0.40626,0.56936,0.26781,1.54814,1.63814,2.34452,0.00021471,0.00021471,0.00021471
46,223.456,0.21455,0.2919,0.90251,0.61127,0.55882,0.55187,0.28925,1.6368,1.54119,2.53031,0.000181703,0.000181703,0.000181703
47,227.682,0.20821,0.28726,0.90062,0.79796,0.61765,0.72558,0.32754,1.68955,1.43412,2.66324,0.000148696,0.000148696,0.000148696
48,231.936,0.19523,0.27257,0.88271,0.89215,0.58824,0.74645,0.34815,1.69927,1.4187,2.64473,0.00011569,0.00011569,0.00011569
49,236.159,0.19321,0.27837,0.88218,0.79278,0.67519,0.74883,0.33978,1.67711,1.43308,2.54609,8.26832e-05,8.26832e-05,8.26832e-05
50,240.452,0.19182,0.26843,0.86242,0.80429,0.70588,0.75705,0.35866,1.6606,1.43299,2.51758,4.96766e-05,4.96766e-05,4.96766e-05
