epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3093,1.87692,2.43297,1.57337,0.46729,0.48152,0.42861,0.17444,1.90941,2.07461,1.58742,0.000553164,0.000553164,0.000553164
2,90.968,1.70243,1.79067,1.47667,0.52059,0.5587,0.54849,0.2099,2.07236,1.71751,1.72817,0.00108688,0.00108688,0.00108688
3,133.841,1.71259,1.67037,1.48082,0.56755,0.60272,0.61327,0.2558,1.92584,1.73389,1.63098,0.00159858,0.00159858,0.00159858
4,176.469,1.67021,1.54987,1.45446,0.59496,0.53139,0.55386,0.21401,2.0586,1.85763,1.72217,0.00156798,0.00156798,0.00156798
5,219.226,1.65298,1.46251,1.4419,0.65303,0.60707,0.61073,0.2565,1.97158,1.40784,1.61819,0.00153497,0.00153497,0.00153497
6,261.887,1.60769,1.38586,1.42118,0.69429,0.59161,0.62765,0.24619,2.12312,1.42504,1.76424,0.00150197,0.00150197,0.00150197
7,304.84,1.59931,1.3367,1.41343,0.62082,0.66685,0.64419,0.26157,2.0433,1.31444,1.70211,0.00146896,0.00146896,0.00146896
8,347.808,1.57205,1.28874,1.39688,0.68238,0.64348,0.65343,0.25658,2.0818,1.32166,1.72388,0.00143595,0.00143595,0.00143595
9,390.41,1.553,1.24959,1.38209,0.71205,0.63633,0.67211,0.24634,2.1832,1.31145,1.83376,0.00140295,0.00140295,0.00140295
10,432.983,1.53348,1.22034,1.37138,0.71798,0.63151,0.65683,0.27741,2.03208,1.33652,1.70011,0.00136994,0.00136994,0.00136994
11,475.535,1.53346,1.2048,1.36909,0.6119,0.63792,0.66462,0.30137,1.92304,1.35357,1.60855,0.00133693,0.00133693,0.00133693
12,518.458,1.52198,1.16646,1.36158,0.75277,0.6803,0.6912,0.28986,2.00183,1.17276,1.63809,0.00130393,0.00130393,0.00130393
13,560.96,1.49963,1.14608,1.34416,0.72958,0.62935,0.66627,0.26293,2.04277,1.23779,1.70118,0.00127092,0.00127092,0.00127092
14,603.592,1.48853,1.12653,1.34167,0.70509,0.62156,0.68108,0.29092,1.94946,1.29076,1.58478,0.00123791,0.00123791,0.00123791
15,647.288,1.47325,1.09992,1.33257,0.79528,0.6102,0.684,0.26642,2.10013,1.26389,1.72968,0.00120491,0.00120491,0.00120491
16,689.701,1.4636,1.08145,1.32395,0.77039,0.63131,0.70002,0.30939,1.92273,1.20127,1.59667,0.0011719,0.0011719,0.0011719
17,732.291,1.45028,1.05652,1.31378,0.73637,0.66413,0.68902,0.24956,2.19894,1.18893,1.83759,0.00113889,0.00113889,0.00113889
18,774.81,1.44323,1.05371,1.30789,0.67403,0.72337,0.7094,0.29564,2.03725,1.19273,1.66911,0.00110589,0.00110589,0.00110589
19,817.443,1.43127,1.02958,1.29861,0.76187,0.67785,0.73432,0.32132,1.92626,1.13895,1.61371,0.00107288,0.00107288,0.00107288
20,859.839,1.40843,1.0068,1.29424,0.73932,0.70103,0.73981,0.28413,2.13116,1.11253,1.74464,0.00103987,0.00103987,0.00103987
21,902.085,1.40959,0.9902,1.29099,0.73192,0.66793,0.71355,0.26005,2.12075,1.19338,1.77216,0.00100687,0.00100687,0.00100687
22,944.493,1.38958,0.97506,1.27859,0.78631,0.75978,0.7588,0.32819,1.92935,1.09075,1.59026,0.000973861,0.000973861,0.000973861
23,986.917,1.39761,0.96572,1.27614,0.75134,0.70535,0.75377,0.32404,1.91128,1.0847,1.59432,0.000940855,0.000940855,0.000940855
24,1029.37,1.39055,0.967,1.26867,0.79374,0.67124,0.72888,0.33368,1.87562,1.16539,1.56986,0.000907848,0.000907848,0.000907848
25,1071.69,1.379,0.93084,1.26499,0.78599,0.70631,0.7545,0.34892,1.8311,1.11558,1.55406,0.000874842,0.000874842,0.000874842
26,1114.24,1.35832,0.92633,1.25365,0.80409,0.69645,0.75776,0.31671,2.01139,1.12628,1.67234,0.000841835,0.000841835,0.000841835
27,1156.73,1.35314,0.90664,1.24963,0.75172,0.725,0.76042,0.32389,1.95576,1.03167,1.61036,0.000808828,0.000808828,0.000808828
28,1199.37,1.34882,0.91153,1.24532,0.77676,0.75659,0.78285,0.35184,1.8831,1.00606,1.59183,0.000775822,0.000775822,0.000775822
29,1242.23,1.32451,0.88392,1.23651,0.77898,0.76406,0.80422,0.33782,1.92822,0.98452,1.62126,0.000742815,0.000742815,0.000742815
30,1284.69,1.32025,0.88434,1.23585,0.81119,0.76465,0.78616,0.34746,1.89464,0.99278,1.60697,0.000709809,0.000709809,0.000709809
31,1327.1,1.32008,0.86969,1.22893,0.72503,0.78232,0.79693,0.33221,1.97048,0.99231,1.6295,0.000676802,0.000676802,0.000676802
32,1369.65,1.30251,0.85249,1.21571,0.75325,0.71514,0.74635,0.31114,1.99928,1.09947,1.65017,0.000643795,0.000643795,0.000643795
33,1412.17,1.29895,0.84137,1.21319,0.76336,0.7898,0.7853,0.35352,1.88491,1.02762,1.6084,0.000610789,0.000610789,0.000610789
34,1454.87,1.29688,0.84916,1.21495,0.80682,0.74565,0.81002,0.35666,1.9438,1.00203,1.6042,0.000577782,0.000577782,0.000577782
35,1497.4,1.28253,0.83791,1.20931,0.75879,0.7462,0.77954,0.33425,1.94084,1.01713,1.63589,0.000544776,0.000544776,0.000544776
36,1540.01,1.28119,0.82175,1.20664,0.79414,0.69862,0.7819,0.31987,2.01015,1.06997,1.6759,0.000511769,0.000511769,0.000511769
