epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1582.4,1.2672,0.81579,1.20126,0.82123,0.7913,0.83122,0.37591,1.86178,0.91157,1.56881,0.000478762,0.000478762,0.000478762
38,1624.96,1.26487,0.80623,1.19305,0.82057,0.7482,0.79776,0.36929,1.83139,0.93445,1.55491,0.000445756,0.000445756,0.000445756
39,1667.3,1.2571,0.79684,1.19119,0.81912,0.76033,0.8198,0.36102,1.90189,0.9432,1.62288,0.000412749,0.000412749,0.000412749
40,1709.85,1.2493,0.7903,1.18889,0.83255,0.75792,0.81406,0.36524,1.88943,0.97288,1.58361,0.000379743,0.000379743,0.000379743
41,1778.09,1.24003,0.72268,1.20027,0.81763,0.75489,0.81215,0.36854,1.85271,0.93642,1.57736,0.000346736,0.000346736,0.000346736
42,1819.72,1.2216,0.70589,1.19438,0.79924,0.76827,0.81136,0.38474,1.79412,0.94995,1.52578,0.000313729,0.000313729,0.000313729
43,1861.6,1.20776,0.69503,1.18518,0.83991,0.74991,0.81312,0.38458,1.83992,0.95716,1.58237,0.000280723,0.000280723,0.000280723
44,1903.46,1.19507,0.67985,1.18062,0.82454,0.7625,0.81509,0.37004,1.89012,0.92363,1.62168,0.000247716,0.000247716,0.000247716
45,1946.01,1.17717,0.67056,1.16979,0.81853,0.76359,0.80704,0.37565,1.84608,0.94733,1.58787,0.00021471,0.00021471,0.00021471
46,1987.65,1.17569,0.66607,1.16422,0.8335,0.77609,0.82382,0.40083,1.73775,0.93488,1.52042,0.000181703,0.000181703,0.000181703
47,2029.35,1.15202,0.65259,1.15877,0.83065,0.76872,0.81629,0.39173,1.81923,0.93069,1.5785,0.000148696,0.000148696,0.000148696
48,2071.47,1.14206,0.6459,1.14777,0.82261,0.79511,0.82726,0.3743,1.89435,0.91975,1.63306,0.00011569,0.00011569,0.00011569
49,2113.66,1.13537,0.63327,1.13933,0.80912,0.79946,0.8265,0.39718,1.82023,0.91112,1.57959,8.26832e-05,8.26832e-05,8.26832e-05
50,2155.12,1.13218,0.63518,1.14201,0.83994,0.77448,0.82545,0.38894,1.84572,0.92128,1.6047,4.96766e-05,4.96766e-05,4.96766e-05
